iter	Passed	Remaining
0	148	148652
1	151	75524
2	153	51050
3	156	38848
4	158	31509
5	160	26579
6	162	23054
7	164	20406
8	166	18347
9	168	16697
10	171	15379
11	172	14234
12	174	13262
13	176	12433
14	178	11706
15	179	11036
16	180	10435
17	181	9901
18	182	9433
19	183	9015
20	185	8638
21	186	8286
22	187	7972
23	188	7682
24	190	7420
25	191	7166
26	192	6930
27	193	6714
28	194	6513
29	196	6366
30	199	6233
31	201	6108
32	203	5970
33	205	5830
34	207	5716
35	209	5605
36	211	5501
37	213	5404
38	216	5330
39	218	5234
40	219	5143
41	221	5057
42	223	4968
43	224	4888
44	226	4812
45	229	4752
46	233	4742
47	235	4676
48	237	4609
49	239	4551
50	241	4491
51	246	4495
52	249	4455
53	251	4401
54	253	4348
55	254	4293
56	256	4243
57	259	4213
58	261	4163
59	263	4129
60	265	4082
61	267	4040
62	269	4001
63	270	3959
64	273	3938
65	277	3931
66	279	3892
67	280	3848
68	281	3804
69	283	3762
70	284	3719
71	285	3677
72	287	3649
73	289	3619
74	290	3587
75	292	3556
76	294	3525
77	295	3490
78	296	3457
79	297	3425
80	299	3393
81	300	3363
82	301	3327
83	303	3309
84	306	3295
85	307	3265
86	308	3234
87	309	3202
88	309	3171
89	310	3140
90	311	3115
91	312	3088
92	314	3064
93	316	3048
94	319	3042
95	321	3026
96	322	3001
97	323	2975
98	324	2949
99	324	2924
100	325	2900
101	326	2877
102	327	2854
103	328	2830
104	329	2806
105	330	2784
106	331	2770
107	333	2755
108	335	2738
109	335	2717
110	336	2698
111	337	2676
112	338	2657
113	339	2636
114	339	2616
115	340	2596
116	341	2576
117	342	2556
118	342	2538
119	343	2519
120	344	2500
121	345	2484
122	346	2473
123	348	2463
124	350	2452
125	351	2437
126	352	2419
127	352	2402
128	353	2386
129	354	2369
130	354	2353
131	355	2338
132	356	2324
133	357	2309
134	358	2295
135	358	2280
136	360	2269
137	362	2262
138	364	2256
139	365	2243
140	365	2229
141	366	2213
142	367	2202
143	368	2188
144	369	2176
145	369	2163
146	370	2151
147	371	2139
148	372	2128
149	374	2119
150	376	2118
151	378	2111
152	380	2104
153	380	2092
154	381	2081
155	382	2069
156	383	2057
157	383	2045
158	384	2034
159	385	2023
160	386	2011
161	386	2001
162	387	1990
163	388	1980
164	389	1970
165	391	1965
166	392	1958
167	394	1952
168	394	1942
169	395	1932
170	396	1922
171	397	1912
172	398	1902
173	398	1893
174	399	1884
175	400	1875
176	401	1865
177	401	1856
178	402	1847
179	405	1846
180	407	1845
181	408	1837
182	409	1828
183	410	1819
184	411	1810
185	411	1801
186	412	1793
187	413	1785
188	414	1777
189	414	1768
190	415	1760
191	416	1751
192	416	1742
193	417	1735
194	419	1730
195	421	1727
196	422	1722
197	423	1715
198	424	1708
199	425	1700
200	425	1692
201	426	1684
202	427	1677
203	427	1669
204	428	1662
205	429	1654
206	429	1647
207	430	1639
208	431	1632
209	431	1624
210	432	1618
211	434	1614
212	435	1608
213	436	1603
214	437	1597
215	438	1590
216	439	1584
217	439	1577
218	440	1570
219	441	1564
220	442	1558
221	442	1551
222	443	1544
223	444	1538
224	445	1532
225	445	1526
226	446	1520
227	447	1515
228	449	1512
229	450	1508
230	452	1504
231	452	1499
232	453	1493
233	454	1487
234	455	1482
235	455	1476
236	456	1470
237	457	1465
238	458	1459
239	459	1453
240	459	1447
241	460	1441
242	460	1436
243	461	1431
244	463	1428
245	465	1427
246	466	1422
247	467	1417
248	468	1412
249	469	1407
250	469	1401
251	470	1396
252	471	1391
253	472	1386
254	473	1382
255	473	1377
256	474	1372
257	475	1367
258	476	1363
259	478	1363
260	481	1362
261	482	1358
262	483	1353
263	483	1348
264	484	1344
265	485	1339
266	485	1334
267	486	1329
268	487	1324
269	487	1319
270	488	1314
271	489	1309
272	489	1304
273	491	1303
274	493	1299
275	494	1296
276	495	1292
277	495	1287
278	496	1283
279	497	1278
280	498	1274
281	498	1269
282	499	1265
283	500	1261
284	501	1257
285	501	1252
286	502	1247
287	503	1243
288	503	1239
289	504	1235
290	506	1234
291	508	1232
292	510	1230
293	510	1226
294	511	1222
295	512	1218
296	513	1214
297	513	1210
298	514	1206
299	515	1202
300	516	1198
301	516	1194
302	517	1190
303	518	1186
304	518	1181
